Focal_Shar,ArcLongUTM,ArcLatUTM,DepthM,LongUTM,LatUTM
1205,630160.6827,4833435.787,3.047851,160.682667,435.78719
1205,630174.8075,4833437.631,3.047851,174.80751,437.63125
1205,630159.6566,4833428.541,4.571777,159.656567,428.5408
1205,630152.9049,4833433.1,3.047851,152.90491,433.10016
1205,630170.0737,4833440.693,3.047851,170.073697,440.69325
1205,630180.2881,4833434.005,3.047851,180.288106,434.00508
1205,630160.7259,4833425.513,4.571777,160.725911,425.51323
1205,630161.9773,4833418.964,4.571777,161.977321,418.96443
1205,630158.2926,4833423.499,4.571777,158.2926,423.49866
1205,630158.0668,4833422.758,4.571777,158.066821,422.75789
1205,630161.4142,4833422.638,4.571777,161.41421,422.63819
1205,630152.5917,4833423.835,4.571777,152.591706,423.83539
1205,630158.9207,4833424.008,4.571777,158.920745,424.00763
1205,630156.6547,4833420.423,4.571777,156.654731,420.42297
1205,630151.9794,4833425.796,3.047851,151.979401,425.79582
1205,630154.2624,4833423.945,4.571777,154.262392,423.94474
1205,630157.4562,4833419.023,4.571777,157.456187,419.02344
1205,630154.8867,4833421.308,4.571777,154.886727,421.30751
1205,630159.9316,4833418.669,4.571777,159.931605,418.6692
1205,630156.6422,4833418.89,4.571777,156.642165,418.8895
1205,630157.4043,4833418.584,4.571777,157.404253,418.58445
1205,630156.6405,4833424.584,4.571777,156.640494,424.58438
1205,630155.5761,4833422.853,4.571777,155.576096,422.853
1205,630158.7393,4833417.413,4.571777,158.739279,417.41345
1205,630156.0577,4833422.643,4.571777,156.057732,422.64253
1205,630160.2026,4833442.628,4.571777,160.202636,442.62848
1205,630156.5842,4833418.789,4.571777,156.584216,418.78891
1205,630157.4698,4833424.977,4.571777,157.469822,424.97746
1205,630175.0979,4833428.019,3.047851,175.097854,428.01879
1205,630165.8894,4833421.802,3.047851,165.889426,421.80177
1205,630157.0368,4833424.691,4.571777,157.036845,424.69099
1205,630154.7637,4833429.35,3.047851,154.763679,429.34987
1205,630158.9284,4833417.974,3.047851,158.928431,417.97435
1205,630177.7247,4833435.951,4.571777,177.724662,435.95074
1205,630157.6328,4833418.051,3.047851,157.632773,418.05088
1205,630158.3593,4833421.987,4.571777,158.359304,421.98651
1205,630153.8901,4833422.485,4.571777,153.890104,422.48453
1205,630155.476,4833425.121,4.571777,155.47604,425.12122
1205,630157.7224,4833423.09,4.571777,157.722404,423.09028
1205,630159.9469,4833418.928,4.571777,159.946911,418.92833
1205,630156.7581,4833419.091,4.571777,156.758062,419.09068
1205,630156.5667,4833422.014,4.571777,156.566705,422.01439
1205,630158.0061,4833423.932,4.571777,158.006132,423.93164
1205,630155.3804,4833420.42,4.571777,155.380394,420.42023
1205,630159.444,4833419.218,4.571777,159.443954,419.21808
1205,630173.7852,4833445.857,4.571777,173.785154,445.85676
1205,630176.464,4833429.576,4.571777,176.464026,429.57632
1205,630158.8065,4833418.112,4.571777,158.806518,418.11157
1205,630156.3437,4833419.999,4.571777,156.343666,419.99928
1205,630160.0289,4833417.675,4.571777,160.028921,417.67532
1205,630158.1724,4833417.941,4.571777,158.172358,417.941
1205,630159.9896,4833418.77,4.571777,159.989554,418.76979
1205,630173.0177,4833436.385,3.047851,173.017651,436.38479
